# bip39rxcrack progress log
# engine: cuda NVRTC13->compute_120->sm_120  device: RTX 5090
# mode: missing-word [:Nth:]
# target: 1ApCyvMjyQhXmsKhfiC5AbCb8z3hoLDirG  path: m/44'/0'/0'/[0,1)/[0,5)
# pattern: trial [:bip39:] gloom dragon try dirt rapid crawl soon fatal tool chronic rapid ladder salmon palace expect enrich helmet truth receive [:bip39:] [:bip39:] [:bip39:]
# total: 68719476736  chunk: 0  budget_mb: 0
# start_ts_ms: 1788619851796
t_ms,swept,swept_total,pct,rate,hashed,eta_s
120683,57713972,68719476736,0.084,0.478,57713972,143575.8
240740,114299923,68719476736,0.166,0.475,114299923,144497.2
365712,173146384,68719476736,0.252,0.473,173146384,144780.4
485729,229677695,68719476736,0.334,0.473,229677695,144844.1
605730,286202847,68719476736,0.416,0.472,286202847,144834.7
730742,345099455,68719476736,0.502,0.472,345099455,144781.5
855760,403973965,68719476736,0.588,0.472,403973965,144716.5
980734,462837359,68719476736,0.674,0.472,462837359,144633.1
1100766,519346792,68719476736,0.756,0.472,519346792,144551.5
1225746,578190615,68719476736,0.841,0.472,578190615,144457.4
